Metropolitan/FMR Area Name,1-Unit,2-unit,3-unit,4-unit,studio rent,1 bdrm rent,2 bdrm rent,3 bdrm rent,4 bdrm rent
"Austin, TX",276400.0,353400.0,428200.0,531000.0,1059,1212,1434,1848,2207
"Boston, MA",456400.0,583800.0,707000.0,875600.0,1742,1924,2336,2906,3168
"Charlotte, NC",234750.0,300000.0,363750.0,450500.0,987,1010,1151,1518,1956
"Chicago, IL",249166.67,318666.67,386166.67,478333.33,1012,1122,1299,1649,1969
"Columbus, OH",209714.29,268285.71,324571.43,402142.86,717,827,1031,1298,1468
"Dallas, TX",254857.14,326285.71,394857.14,489142.86,1029,1134,1352,1746,2309
"Denver, CO",399000.0,510800.0,619000.0,766400.0,1179,1304,1605,2186,2486
"El Paso, TX",162000.0,207000.0,250000.0,310000.0,548,687,831,1174,1415
"Fort Worth, TX",233666.67,299000.0,361666.67,448333.33,901,1021,1242,1661,2077
"Houston, TX",217857.14,278571.43,337714.29,418142.86,908,983,1176,1576,2010
"Indianapolis, IN",192111.11,245555.56,297333.33,368222.22,678,781,946,1248,1455
"Jacksonville, FL",232250.0,297250.0,359750.0,445250.0,746,921,1113,1455,1852
"Los Angeles, CA",510000.0,652000.0,790000.0,979000.0,1369,1605,2058,2735,2982
"Nashville, TN",280700.0,359000.0,434900.0,539200.0,998,1031,1197,1539,1930
"New York, NY",534857.14,684714.29,829000.0,1026857.14,1760,1801,2053,2598,2784
"Oklahoma City, OK",167800.0,215000.0,260000.0,322000.0,705,738,918,1238,1488
"Philadelphia, PA",278600.0,356800.0,432000.0,535200.0,900,1040,1260,1567,1796
"Phoenix, AZ",255000.0,326000.0,395000.0,489000.0,933,1032,1251,1765,2010
"Portland, OR",383142.86,490285.71,593285.71,735142.86,1245,1331,1536,2193,2657
"San Antonio, TX",224200.0,286800.0,347400.0,430400.0,761,912,1114,1446,1793
"San Diego, CA",518000.0,663000.0,803000.0,994000.0,1478,1642,2124,2987,3677
"San Francisco, CA",664000.0,850000.0,1029000.0,1275000.0,2350,2923,3553,4567,4970
"San Jose, CA",665000.0,851000.0,1031000.0,1277000.0,2228,2558,3051,3984,4593
"Seattle, WA",477500.0,611500.0,740500.0,917500.0,1523,1599,1906,2694,3172
Washington D.C.,485000.0,620000.0,751000.0,930000.0,1513,1548,1765,2263,2742
